ALDER;OMRÅDE;CIVILSTAND;TID;INDHOLD
49 år;Odense;Ugift;2020K1;581
50 år;København;Ugift;2020K1;2282
50 år;Aalborg;Ugift;2020K1;575
50 år;Odense;Ugift;2020K1;588
51 år;København;Ugift;2020K1;2299
51 år;Aalborg;Ugift;2020K1;580
51 år;Odense;Ugift;2020K1;559
52 år;København;Ugift;2020K1;2343
52 år;Aalborg;Ugift;2020K1;621
52 år;Odense;Ugift;2020K1;595
53 år;København;Ugift;2020K1;2305
53 år;Aalborg;Ugift;2020K1;664
53 år;Odense;Ugift;2020K1;566
54 år;København;Ugift;2020K1;2125
54 år;Aalborg;Ugift;2020K1;598
54 år;Odense;Ugift;2020K1;508
55 år;København;Ugift;2020K1;2017
55 år;Aalborg;Ugift;2020K1;549
55 år;Odense;Ugift;2020K1;545
56 år;København;Ugift;2020K1;1907
56 år;Aalborg;Ugift;2020K1;556
56 år;Odense;Ugift;2020K1;516
57 år;København;Ugift;2020K1;1692
57 år;Aalborg;Ugift;2020K1;550
57 år;Odense;Ugift;2020K1;529
58 år;København;Ugift;2020K1;1530
58 år;Aalborg;Ugift;2020K1;482
58 år;Odense;Ugift;2020K1;456
59 år;København;Ugift;2020K1;1483
59 år;Aalborg;Ugift;2020K1;457
59 år;Odense;Ugift;2020K1;401
60 år;København;Ugift;2020K1;1345
60 år;Aalborg;Ugift;2020K1;392
60 år;Odense;Ugift;2020K1;395
61 år;København;Ugift;2020K1;1314
61 år;Aalborg;Ugift;2020K1;398
61 år;Odense;Ugift;2020K1;372
62 år;København;Ugift;2020K1;1187
62 år;Aalborg;Ugift;2020K1;359
62 år;Odense;Ugift;2020K1;379
63 år;København;Ugift;2020K1;1125
63 år;Aalborg;Ugift;2020K1;367
63 år;Odense;Ugift;2020K1;320
64 år;København;Ugift;2020K1;1030
64 år;Aalborg;Ugift;2020K1;312
64 år;Odense;Ugift;2020K1;308
65 år;København;Ugift;2020K1;959
65 år;Aalborg;Ugift;2020K1;273
65 år;Odense;Ugift;2020K1;281
66 år;København;Ugift;2020K1;956
66 år;Aalborg;Ugift;2020K1;242
66 år;Odense;Ugift;2020K1;220
67 år;København;Ugift;2020K1;845
67 år;Aalborg;Ugift;2020K1;245
67 år;Odense;Ugift;2020K1;217
68 år;København;Ugift;2020K1;861
68 år;Aalborg;Ugift;2020K1;202
68 år;Odense;Ugift;2020K1;188
69 år;København;Ugift;2020K1;760
69 år;Aalborg;Ugift;2020K1;164
69 år;Odense;Ugift;2020K1;176
70 år;København;Ugift;2020K1;624
70 år;Aalborg;Ugift;2020K1;182
70 år;Odense;Ugift;2020K1;138
71 år;København;Ugift;2020K1;623
71 år;Aalborg;Ugift;2020K1;164
71 år;Odense;Ugift;2020K1;138
72 år;København;Ugift;2020K1;587
72 år;Aalborg;Ugift;2020K1;154
72 år;Odense;Ugift;2020K1;117
73 år;København;Ugift;2020K1;520
73 år;Aalborg;Ugift;2020K1;139
73 år;Odense;Ugift;2020K1;120
