OMRÅDE;ALDER;TID;INDHOLD
Odense;64 år;2020K1;2167
Odense;65 år;2020K1;1983
Odense;66 år;2020K1;1956
Odense;67 år;2020K1;1866
Odense;68 år;2020K1;1866
Odense;69 år;2020K1;1890
Odense;70 år;2020K1;1840
Odense;71 år;2020K1;1905
Odense;72 år;2020K1;1983
Odense;73 år;2020K1;1979
Odense;74 år;2020K1;1966
Odense;75 år;2020K1;1768
Odense;76 år;2020K1;1579
Odense;77 år;2020K1;1445
Odense;78 år;2020K1;1293
Odense;79 år;2020K1;1118
Odense;80 år;2020K1;1121
Odense;81 år;2020K1;1048
Odense;82 år;2020K1;990
Odense;83 år;2020K1;816
Odense;84 år;2020K1;740
Odense;85 år;2020K1;621
Odense;86 år;2020K1;612
Odense;87 år;2020K1;538
Odense;88 år;2020K1;469
Odense;89 år;2020K1;392
Odense;90 år;2020K1;301
Odense;91 år;2020K1;264
Odense;92 år;2020K1;213
Odense;93 år;2020K1;199
Odense;94 år;2020K1;155
Odense;95 år;2020K1;112
Odense;96 år;2020K1;64
Odense;97 år;2020K1;64
Odense;98 år;2020K1;43
Odense;99 år;2020K1;32
Odense;100 år;2020K1;16
Odense;101 år;2020K1;6
Odense;102 år;2020K1;5
Odense;103 år;2020K1;2
Odense;104 år;2020K1;3
Odense;105 år;2020K1;2
Odense;106 år;2020K1;0
Odense;107 år;2020K1;0
Odense;108 år;2020K1;0
Odense;109 år;2020K1;0
Odense;110 år;2020K1;0
Odense;111 år;2020K1;0
Odense;112 år;2020K1;0
Odense;113 år;2020K1;0
Odense;114 år;2020K1;0
Odense;115 år;2020K1;0
Odense;116 år;2020K1;0
Odense;117 år;2020K1;0
Odense;118 år;2020K1;0
Odense;119 år;2020K1;0
Odense;120 år;2020K1;0
Odense;121 år;2020K1;0
Odense;122 år;2020K1;0
Odense;123 år;2020K1;0
Odense;124 år;2020K1;0
Odense;125 år;2020K1;0
Aalborg;I alt;2020K1;217075
Aalborg;0 år;2020K1;2469
Aalborg;1 år;2020K1;2220
Aalborg;2 år;2020K1;2234
Aalborg;3 år;2020K1;2236
Aalborg;4 år;2020K1;2119
Aalborg;5 år;2020K1;1990
Aalborg;6 år;2020K1;1947
Aalborg;7 år;2020K1;2064
Aalborg;8 år;2020K1;2086
Aalborg;9 år;2020K1;2179
Aalborg;10 år;2020K1;2194
Aalborg;11 år;2020K1;2325
Aalborg;12 år;2020K1;2176
Aalborg;13 år;2020K1;2223
Aalborg;14 år;2020K1;2242
Aalborg;15 år;2020K1;2166
Aalborg;16 år;2020K1;2158
