CIVILSTAND;ALDER;OMRÅDE;TID;INDHOLD
Gift/separeret;38 år;Odense;2020K1;1084
Gift/separeret;39 år;København;2020K1;3928
Gift/separeret;39 år;Aalborg;2020K1;1263
Gift/separeret;39 år;Odense;2020K1;1208
Gift/separeret;40 år;København;2020K1;3862
Gift/separeret;40 år;Aalborg;2020K1;1292
Gift/separeret;40 år;Odense;2020K1;1186
Gift/separeret;41 år;København;2020K1;3897
Gift/separeret;41 år;Aalborg;2020K1;1376
Gift/separeret;41 år;Odense;2020K1;1287
Gift/separeret;42 år;København;2020K1;3769
Gift/separeret;42 år;Aalborg;2020K1;1369
Gift/separeret;42 år;Odense;2020K1;1182
Gift/separeret;43 år;København;2020K1;3818
Gift/separeret;43 år;Aalborg;2020K1;1386
Gift/separeret;43 år;Odense;2020K1;1262
Gift/separeret;44 år;København;2020K1;3826
Gift/separeret;44 år;Aalborg;2020K1;1450
Gift/separeret;44 år;Odense;2020K1;1405
Gift/separeret;45 år;København;2020K1;3890
Gift/separeret;45 år;Aalborg;2020K1;1426
Gift/separeret;45 år;Odense;2020K1;1330
Gift/separeret;46 år;København;2020K1;3573
Gift/separeret;46 år;Aalborg;2020K1;1357
Gift/separeret;46 år;Odense;2020K1;1405
Gift/separeret;47 år;København;2020K1;3590
Gift/separeret;47 år;Aalborg;2020K1;1490
Gift/separeret;47 år;Odense;2020K1;1405
Gift/separeret;48 år;København;2020K1;3357
Gift/separeret;48 år;Aalborg;2020K1;1396
Gift/separeret;48 år;Odense;2020K1;1428
Gift/separeret;49 år;København;2020K1;3151
Gift/separeret;49 år;Aalborg;2020K1;1373
Gift/separeret;49 år;Odense;2020K1;1322
Gift/separeret;50 år;København;2020K1;3024
Gift/separeret;50 år;Aalborg;2020K1;1370
Gift/separeret;50 år;Odense;2020K1;1257
Gift/separeret;51 år;København;2020K1;3034
Gift/separeret;51 år;Aalborg;2020K1;1546
Gift/separeret;51 år;Odense;2020K1;1330
Gift/separeret;52 år;København;2020K1;3175
Gift/separeret;52 år;Aalborg;2020K1;1487
Gift/separeret;52 år;Odense;2020K1;1394
Gift/separeret;53 år;København;2020K1;3274
Gift/separeret;53 år;Aalborg;2020K1;1646
Gift/separeret;53 år;Odense;2020K1;1515
Gift/separeret;54 år;København;2020K1;3176
Gift/separeret;54 år;Aalborg;2020K1;1571
Gift/separeret;54 år;Odense;2020K1;1460
Gift/separeret;55 år;København;2020K1;3098
Gift/separeret;55 år;Aalborg;2020K1;1546
Gift/separeret;55 år;Odense;2020K1;1478
Gift/separeret;56 år;København;2020K1;2873
Gift/separeret;56 år;Aalborg;2020K1;1577
Gift/separeret;56 år;Odense;2020K1;1436
Gift/separeret;57 år;København;2020K1;2629
Gift/separeret;57 år;Aalborg;2020K1;1478
Gift/separeret;57 år;Odense;2020K1;1378
Gift/separeret;58 år;København;2020K1;2614
Gift/separeret;58 år;Aalborg;2020K1;1435
Gift/separeret;58 år;Odense;2020K1;1321
Gift/separeret;59 år;København;2020K1;2543
Gift/separeret;59 år;Aalborg;2020K1;1462
