OMRÅDE;TID;CIVILSTAND;INDHOLD
Region Hovedstaden;2008K1;I alt;1645825
Region Hovedstaden;2008K1;Ugift;810361
Region Hovedstaden;2008K1;Gift/separeret;597034
Region Hovedstaden;2008K1;Enke/enkemand;88644
Region Hovedstaden;2008K1;Fraskilt;149786
Region Hovedstaden;2020K1;I alt;1846023
Region Hovedstaden;2020K1;Ugift;973802
Region Hovedstaden;2020K1;Gift/separeret;620156
Region Hovedstaden;2020K1;Enke/enkemand;76474
Region Hovedstaden;2020K1;Fraskilt;175591
